SupplierId,RecentMonth,RecentTimeStamp_timestampInUTC_timestampInUTC,RecentTimeStamp_timestampInUTC_originalTimezone,DerivativeName,DerivativeRegion,ProductionLine,T1Color,T2Color,T3Color,Result
f763999191217e9945b26d312d0902d5,2022-06,2022-06-30T10:01:20Z,+00:00,3c4d48ad7d892bfe96a6df0fabe6deaa,Asia,LU,Green,Green,-,Green
377c62276b7dd74e406ac5de3c872110,2022-09,2022-09-28T07:00:46Z,+00:00,2dc5fe1b4f8895bb1096f6470b7d8550,Europe,LG,Green,Green,Green,Green
20beb9edfc8536f19109a15b5ce1a845,2022-09,2022-09-28T07:00:46Z,+00:00,9c491ff90cbfc2882aa1116944658240,Europe,LC,Green,Green,Green,Green
d0ae2fdd6681f6f99469af4f1ede3928,2022-10,2022-10-31T11:01:25Z,+00:00,3724c242924ad7b7871634355d6ee63e,USA,LC,Green,Green,Green,Green
4668950356774590b25d92473b8756d9,2022-02,2022-02-28T11:01:17Z,+00:00,99904aba55dd386296e5925bac70abe0,Europe,LU,Green,Red,-,Red
1e97f90bcc5bd8dc17cf55de3ed916d2,2022-10,2022-10-31T11:01:25Z,+00:00,13d10ea69c6c21ea20cac248ae5895b7,Europe,LG,Green,Red,-,Red
1feca07fa793efd71c73cf537caff7c0,2022-07,2022-07-31T10:01:01Z,+00:00,0a879ff2b983805366f600a01ef5b866,Europe,LU,Green,Green,Green,Green
7b82c4a7c2671e6ca480a288cad45353,2022-07,2022-07-31T10:01:01Z,+00:00,5be55c21e69c5e21104445fd2ee0c073,Europe,LU,Green,-,-,Green
237025d4b905e7bdaa000d8f66913ff7,2022-09,2022-09-28T07:00:46Z,+00:00,709f8ee329211a1352449fa49a828272,USA,LK,Green,-,-,Green
f1fb6f42758ffeda575729d3ea872e6f,2022-02,2022-02-28T11:01:17Z,+00:00,3c4d48ad7d892bfe96a6df0fabe6deaa,Asia,LU,Green,-,-,Green
aff0be566aee3fd76356b5227981968f,2022-08,2022-08-31T11:01:15Z,+00:00,beef89b289437d6b19a0fc2e998a4dc0,Asia,LG,Green,Green,Green,Green
af12cfa17b2411e4862f5199a153e286,2022-09,2022-09-28T07:00:46Z,+00:00,09a9ac65377687f20f7299fff9e1d1ca,Europe,LC,Green,Green,Green,Green
8df00118bb9a1b82f236be003fb4571b,2022-02,2022-02-28T11:01:17Z,+00:00,f92476821a5cace3a078f93384701919,Europe,LK,Green,Green,Green,Green
80e515673f6c96aa7f79c39b5e36c79e,2022-09,2022-09-28T07:00:46Z,+00:00,9c491ff90cbfc2882aa1116944658240,Europe,LC,Green,Green,Green,Green
dafc1c344905cfeac6343accfadbb8fb,2022-06,2022-06-30T10:01:20Z,+00:00,97adacfac2f60e9ea2118be20af1cb93,Asia,LK,Green,-,-,Green
fe1c65b124b80317774a89b393dceed5,2022-08,2022-08-31T11:01:15Z,+00:00,66a13ab8002c70a1facbcff8ebce7797,Europe,LU,Green,Green,Green,Green
efd93fdbf5b2284623065e528bf502e9,2022-02,2022-02-28T11:01:17Z,+00:00,99904aba55dd386296e5925bac70abe0,Europe,LU,Green,Green,-,Green
3f6e14c0f23e09bfe46439c645c555c4,2022-09,2022-09-28T07:00:46Z,+00:00,709f8ee329211a1352449fa49a828272,USA,LK,Green,-,-,Green
a1b1432185e959385b5990d2aba29ed2,2022-02,2022-02-28T11:01:17Z,+00:00,953c4081b4a5fc2507c3d1db03b727d8,Asia,LK,Green,Green,Green,Green
23cb77275934414034019468616aaf76,2022-06,2022-06-30T10:01:20Z,+00:00,5be55c21e69c5e21104445fd2ee0c073,Europe,LU,Green,-,-,Green
1826dc882acf0d326ea372e70ed2a632,2022-05,2022-05-31T11:01:57Z,+00:00,953c4081b4a5fc2507c3d1db03b727d8,Asia,LK,Green,Green,Green,Green
